# accessed: February 2018
Species_ID	Species_name_compact	Publication_count
1110509	Methanosaeta harundinacea	16
940615	Granulicella tundricola	4
1035184	Streptococcus constellatus	104
797209	Haladaptatus paucihalophilus	7
985665	Paenibacillus terrae	13
330779	Sulfolobus acidocaldarius	327
259536	Psychrobacter arcticus	20
402612	Flavobacterium psychrophilum	292
9986	Oryctolagus cuniculus	331624
283643	Cryptococcus neoformans B	1773
555779	Desulfonatronospira thiodismutans	2
555778	Halothiobacillus neapolitanus	40
717231	Flexistipes sinusarabici	5
747682	Mycoplasma alligatoris	12
398527	Burkholderia phytofirmans	45
266117	Rubrobacter xylanophilus	19
355276	Leptospira borgpetersenii	222
383372	Roseiflexus castenholzii	22
366394	Sinorhizobium medicae	73
319225	Chlorobium luteolum	11
319224	Shewanella putrefaciens	252
485915	Desulfohalobium retbaense	6
882102	Vibrio anguillarum	1204
322104	Scheffersomyces stipitis	135
279238	Novosphingobium aromaticivorans	68
764298	Streptococcus macacae	8
764299	Streptococcus ictaluri	12
159087	Dechloromonas aromatica	26
667128	Pasteurella dagmatis	50
675816	Vibrio orientalis	17
314282	Psychromonas sp. CNPT3	0
331869	alpha proteobacterium BAL199	408
675813	Vibrio metschnikovii	79
859194	Mycoplasma haemofelis	145
1104324	Pyrobaculum sp. 1860	0
240016	Verrucomicrobium spinosum	26
240015	Acidobacterium capsulatum	28
632292	Caldicellulosiruptor hydrothermalis	8
391735	Verminephrobacter eiseniae	9
224911	Bradyrhizobium japonicum USDA110	92
224914	Brucella melitensis	1287
224915	Buchnera aphidicola Bp	9
985867	Odyssella thessalonicensis	3
457425	Streptomyces albus	397
688270	Cellulophaga algicola	7
572544	Ilyobacter polytropus	2
572547	Aminobacterium colombiense	8
572546	Archaeoglobus profundus	10
931890	Eremothecium cymbalariae	6
99883	Tetraodon nigroviridis	187
644966	Thermaerobacter marianensis	9
457427	Streptomyces himastatinicus	3
690566	Sphingobium chlorophenolicum	38
204669	Koribacter versatilis	5
666684	Afipia sp. 1NLS2	1
666681	Methylotenera versatilis	3
9615	Canis lupus	985
367775	Cryptococcus gattii	368
5297	Puccinia graminis	325
483219	Myxococcus fulvus	65
592015	Anaerobaculum hydrogeniformans	2
314724	Borrelia turicatae	122
314723	Borrelia hermsii	291
5059	Aspergillus flavus	2348
272557	Aeropyrum pernix	256
5057	Aspergillus clavatus	232
944562	Lactobacillus oris	25
944560	Actinomyces sp. 175	19
944564	Veillonella sp. F0422	125
944565	Parvimonas sp. F0440	31
391595	Roseobacter litoralis	28
391592	Caminibacter mediatlanticus	6
391591	Vibrio shilonii	12
391598	Flavobacteria bacterium BAL38	393
906968	Treponema brennaborense	11
44689	Dictyostelium discoideum	7004
323850	Shewanella loihica	28
911104	Weissella cibaria	152
246969	Thermococcus sp. AM4	3
246200	Ruegeria pomeroyi	54
203122	Saccharophagus degradans	71
203123	Oenococcus oeni	421
203120	Leuconostoc mesenteroides	24
399550	Staphylothermus marinus	32
717785	Hyphomicrobium sp. MC1	3
203124	Trichodesmium erythraeum	75
211110	Streptococcus agalactiae	7335
293826	Alkaliphilus metalliredigens	7
985053	Vulcanisaeta moutnovskia	6
315749	Bacillus cytotoxicus	13
1129369	Mycoplasma hyorhinis	84
198214	Shigella flexneri	3516
316279	Synechococcus sp. CC9902	2
316278	Synechococcus sp. RCC307	1
762550	Leuconostoc gasicomitatum	30
312284	marine actinobacterium	90
316273	Xanthomonas campestris vesicatoria	322
945543	Vibrio brasiliensis	15
316275	Aliivibrio salmonicida	31
316274	Herpetosiphon aurantiacus	99
478749	Marvinbryantia formatexigens	3
452638	Polynucleobacter necessarius necessarius	25
5270	Ustilago maydis	969
940190	Melissococcus plutonius	36
867900	Cellulophaga lytica	22
867903	Thermaerobacter subterraneus	4
452637	Opitutus terrae	7
699218	Megasphaera sp. 28L	0
